Date,Volume,Adj Close
"Aug 10, 2015",491433,44.96
"Aug 7, 2015",400070,43.87
"Aug 6, 2015",360977,44.66
"Aug 5, 2015",367326,45.15
"Aug 4, 2015",285786,45.74
"Aug 3, 2015",371085,45.17
"Jul 31, 2015",334474,47.12
"Jul 30, 2015",247662,48.52
"Jul 29, 2015",366893,48.79
"Jul 28, 2015",338107,47.98
"Jul 27, 2015",273614,47.39
"Jul 24, 2015",278233,48.14
"Jul 23, 2015",316060,48.45
"Jul 22, 2015",347986,49.19
"Jul 21, 2015",254321,50.36
"Jul 20, 2015",102597,50.15
"Jul 17, 2015",203485,50.89
"Jul 16, 2015",319167,50.91
"Jul 15, 2015",334563,51.41
"Jul 14, 2015",422756,53.04
"Jul 13, 2015",359477,52.2
"Jul 10, 2015",349075,52.74
"Jul 9, 2015",382334,52.78
"Jul 8, 2015",434752,51.65
"Jul 7, 2015",527267,52.33
"Jul 6, 2015",540608,52.53
"Jul 2, 2015",297050,56.93
"Jul 1, 2015",373405,56.96
"Jun 30, 2015",282475,59.47
"Jun 29, 2015",286035,58.33
"Jun 26, 2015",231957,59.63
"Jun 25, 2015",222341,59.7
"Jun 24, 2015",312985,60.27
"Jun 23, 2015",336224,61.01
"Jun 22, 2015",255306,59.68
"Jun 19, 2015",116656,59.61
"Jun 18, 2015",181875,60.45
"Jun 17, 2015",396155,59.92
"Jun 16, 2015",233935,59.97
"Jun 15, 2015",275187,59.52
"Jun 12, 2015",246898,59.96
"Jun 11, 2015",352421,60.77
"Jun 10, 2015",459765,61.43
"Jun 9, 2015",405486,60.14
"Jun 8, 2015",339845,58.14
"Jun 5, 2015",461016,59.13
"Jun 4, 2015",363345,58.0
"Jun 3, 2015",371298,59.64
"Jun 2, 2015",344508,61.26
"Jun 1, 2015",292189,60.2
"May 29, 2015",452222,60.3
"May 28, 2015",340682,57.68
"May 27, 2015",314917,57.51
"May 26, 2015",330128,58.03
"May 22, 2015",230307,59.72
"May 21, 2015",329765,60.72
"May 20, 2015",287129,58.98
"May 19, 2015",336779,57.26
"May 18, 2015",144389,59.43
"May 15, 2015",222089,59.69
"May 14, 2015",361432,59.88
"May 13, 2015",426835,60.5
"May 12, 2015",397345,60.75
"May 11, 2015",332694,59.25
"May 8, 2015",434575,59.39
"May 7, 2015",437022,58.94
"May 6, 2015",423583,60.93
"May 5, 2015",389743,60.4
"May 4, 2015",215046,58.93
"May 1, 2015",244753,59.15
"Apr 30, 2015",340322,59.63
"Apr 29, 2015",411097,58.58
"Apr 28, 2015",281864,57.06
"Apr 27, 2015",250558,56.99
"Apr 24, 2015",328322,57.15
"Apr 23, 2015",415569,57.74
"Apr 22, 2015",329631,56.16
"Apr 21, 2015",354244,55.26
"Apr 20, 2015",112382,56.38
"Apr 17, 2015",230623,55.74
"Apr 16, 2015",413134,56.71
"Apr 15, 2015",508904,56.39
"Apr 14, 2015",431026,53.29
"Apr 13, 2015",375534,51.91
"Apr 10, 2015",395135,51.64
"Apr 9, 2015",449531,50.79
"Apr 8, 2015",552627,50.42
"Apr 7, 2015",548870,53.98
"Apr 6, 2015",325282,52.14
"Apr 2, 2015",453394,49.14
"Apr 1, 2015",451104,50.09
"Mar 31, 2015",365748,47.6
"Mar 30, 2015",355866,48.68
"Mar 27, 2015",384092,48.87
"Mar 26, 2015",515277,51.43
"Mar 25, 2015",398795,49.21
"Mar 24, 2015",309553,47.51
"Mar 23, 2015",292417,47.45
"Mar 20, 2015",379180,45.72
"Mar 19, 2015",106907,43.96
"Mar 18, 2015",220638,44.66
"Mar 17, 2015",346310,43.46
"Mar 16, 2015",367600,43.88
"Mar 13, 2015",395722,44.84
"Mar 12, 2015",358381,47.05
"Mar 11, 2015",404590,48.17
"Mar 10, 2015",395761,48.29
"Mar 9, 2015",409877,50.0
"Mar 6, 2015",406840,49.61
"Mar 5, 2015",370953,50.76
"Mar 4, 2015",463989,51.53
"Mar 3, 2015",370597,50.52
"Mar 2, 2015",427177,49.59
"Feb 27, 2015",399494,49.76
"Feb 26, 2015",459584,48.17
"Feb 25, 2015",429524,50.99
"Feb 24, 2015",293101,49.28
"Feb 23, 2015",475383,49.45
"Feb 20, 2015",366125,50.34
"Feb 19, 2015",125210,51.16
"Feb 18, 2015",257476,52.14
"Feb 17, 2015",518799,53.53
"Feb 13, 2015",437072,52.78
"Feb 12, 2015",563662,51.21
"Feb 11, 2015",519272,48.84
"Feb 10, 2015",501701,50.02
"Feb 9, 2015",536364,52.86
"Feb 6, 2015",584976,51.69
"Feb 5, 2015",596851,50.48
"Feb 4, 2015",577515,48.45
"Feb 3, 2015",644919,53.05
"Feb 2, 2015",511409,49.57
"Jan 30, 2015",454142,48.24
"Jan 29, 2015",300732,44.53
"Jan 28, 2015",365440,44.45
"Jan 27, 2015",313141,46.23
"Jan 26, 2015",310638,45.15
"Jan 23, 2015",374289,45.59
"Jan 22, 2015",426829,46.31
"Jan 21, 2015",340252,47.78
"Jan 20, 2015",438892,46.39
"Jan 16, 2015",175626,48.69
"Jan 15, 2015",478340,46.25
"Jan 14, 2015",510252,48.48
"Jan 13, 2015",476541,45.89
"Jan 12, 2015",394946,46.07
"Jan 9, 2015",421007,48.36
"Jan 8, 2015",362081,48.79
"Jan 7, 2015",460083,48.65
"Jan 6, 2015",451642,47.93
"Jan 5, 2015",375782,50.04
"Jan 2, 2015",268708,52.69
"Dec 31, 2014",233516,53.27
"Dec 30, 2014",218557,54.12
"Dec 29, 2014",241378,53.61
"Dec 26, 2014",127202,54.73
"Dec 24, 2014",174969,55.84
"Dec 23, 2014",274003,57.12
"Dec 22, 2014",277319,55.26
"Dec 19, 2014",383536,56.52
"Dec 18, 2014",106315,54.11
"Dec 17, 2014",351977,56.47
"Dec 16, 2014",518784,55.93
"Dec 15, 2014",424946,55.91
"Dec 12, 2014",414224,57.81
"Dec 11, 2014",392493,59.95
"Dec 10, 2014",456172,60.94
"Dec 9, 2014",322804,63.82
"Dec 8, 2014",330077,63.05
